CIK,Fund,Manager,Denomination,CIKs,URL,Fund_zh,Manager_zh,Description,Description_zh,Popularity
1421669,3G,Jorge Paulo Lehman,3G Capital Partners LP,,https://www.3g-capital.com/,,,,,0
1540358,a16z,Ben Horowitz,"a16z Capital Management, L.L.C.",,https://a16z.com/,,,,,0
2029917,ADAPT,Clément Mary-Dauphin,ADAPT Investment Managers SA,,https://www.adapt-im.ch/,,,,,0
1512073,Aft Forsyth,Larry Aft,"Aft, Forsyth & Company, Inc.",,https://aftforsyth.com/,,,,,0
2047606,AG2R,Fabrice Heyriès,AG2R La Mondiale Gestion d'actifs,,https://www.ag2rlamondiale.fr/,,,,,0
1933952,AI-Squared,Darren Kimura,AI-Squared Management Ltd,,https://aisquared.ai/,,,,,0
1230239,Alkeon,Panayotis Sparaggis,Alkeon Capital Management LLC,,https://www.alkeon.com/,,,,,0
2076121,Amanah,Karim Al-Mansour,Amanah Holdings Trust,,https://amanahcapital.uk/,,,,,0
1807559,Amitell,Irene Tedja,Amitell Capital Pte Ltd,,https://www.amitellcapital.com/,,,,,0
1822480,Anabranch,Alexander Shapiro & Daniel Wolf,"Anabranch Capital Management, LP",,https://www.anabranchcap.com/,,,,,0
1753384,Analog,Val Zlatev,Analog Century Management LP,,https://www.analogcm.com/,,,,,0
2007642,Anchorage,Yale Baron & Thibault Gournay,"Anchorage Capital Advisors, L.P.",,https://anchoragecapital.com/,,,,,0
1426749,Ancient Art,Quincy Lee,"Ancient Art, L.P.",,https://ancient.co/,,,,,0
1805591,Andar,Wen Han Li,Andar Capital Management HK Ltd,,,,,,,0
1835730,Ardmore Road,Chris Connor,Ardmore Road Asset Management,,https://www.ardmoreroad.com/,,,,,0
1833078,Arena,Jeremy Sagi,"Arena Capital Advisors, LLC- CA",,https://www.arenaca.com/,,,,,0
1916757,ASR,Patrick Klijnsmit,ASR Vermogensbeheer N.V.,,https://www.asr.nl/,,,,,0
1832439,Atmos,Bruno Levacov,Atmos Capital Gestao De Recursos Ltda,,https://www.atmoscapital.com.br/,,,,,0
